demo,level,The company's vision is very clear.,I can summarize the company's vision to someone I meet.,I feel inspired by the company's vision.,Leaders are passionate about the company's vision.,Leaders are guided by the company's vision.,I have confidence in the company's strategy.,I know what my company wants to achieve in the next year.,This company knows how to get the results it is looking for.,We know what our next step is for improving our capabilities.,Leadership effectively connects my work to the company goals.,I have a great deal of confidence in the leadership of this company.,Company leaders impact the attitude and culture of the entire company.,The leadership of this company is fantastic in comparison to the leadership of other organizations I've been involved with.,Leaders find the time to get to know the employees.,I have confidence in the decision making of company leaders.,We deal with the same problems again and again.*,Company changes usually have a positive impact on me.,People look to pass the blame when something goes wrong.*,"If an issue arises, people mostly remain calm and focused.",We use feedback from customers to improve our services.,I have real time access to business i.,My team uses performance measures (i.e. key performance indicators).,We are recognized for our successes.,We have a clear sense at all times whether or not we're meeting our objectives.,We are held accountable for our performance.,I often use 'workarounds' instead of the company's established systems.*,It often takes too long to get the information I need.*,"Oftentimes, I have to take care of things that shouldn't be my responsibility.*",I know who to go to when I have concerns about our systems/processes.,I follow the company's standardized procedures.,Our team consistently meets our goals.,Our work would be better if we collaborated more.,Our skills complement each other well.,There's a real sense that I am part of a team.,Our company has a spirit of teamwork and cooperation.,My company does a good job of hiring the right people for the right jobs.,I am confident my performance affects my compensation.,I get along well with my supervisor.,Performance reviews are a waste of time.*,"Based on my experience, the company does a great job of acclimating new employees.",I get helpful feedback from my supervisor on a regular basis.,I am consistently improving at my job.,People here are always willing to help me learn.,The company invests in employees learning new skills.,I have grown professionally during my time with this company.,My job role is always extremely clear.,I am very frequently overwhelmed at work.*,My job is a great fit for my skills and strengths.,I embrace the company's core values.,I look forward to going to work.,I believe in the products or services we provide.,I respond to customer needs as quickly as possible.,I build great relationships with my customers.,I'm disappointed if I don't meet my customers' expectations.,I seek feedback from customers to improve our products or services.,My opinions are heard and valued.,I am confident that leadership understands what I do.,I am very comfortable letting my supervisor know when I've made a mistake.,I trust my supervisor has my best interest in mind.,I feel micromanaged.*,People in my organization express genuine gratitude toward one another.,I practice mindfulness by staying in the present moment while doing my work.,People I work with generally feel optimistic about the organization's future.,People that I work with care about my happiness and well-being.,I feel inspired every day to do my best work.,"Taking everything into consideration, I am satisfied with my job as a whole.",I am willing to put in a great deal of effort beyond what is normally expected in order to help the organization.,Direction,Operations,People,Engagement,Vision,Strategy,Leadership,Adaptability,Performance,Systems,Teamwork,Talent,Development,Fit,Customer,Climate,Positivity,nps_score,Detractor,Passive,Promoter
ALL,ALL,72,67,67,68,68,70,71,66,65,69,68,77,65,65,64,37,59,43,60,68,59,63,62,65,67,58,50,43,73,79,67,70,72,71,66,57,68,82,58,58,68,78,70,59,78,73,49,79,77,75,81,85,78,81,76,62,67,80,74,64,65,73,63,65,75,77,84,68,59,68,73,69,68,68,53,63,61,69,64,70,71,80,70,68,22,76,130,154
TENURE,Less than a year,79,71,72,73,73,73,74,68,68,74,73,77,71,69,71,47,64,54,64,70,58,61,61,69,70,59,55,55,76,80,68,77,77,76,74,64,74,87,67,62,71,81,74,64,76,74,51,79,79,77,83,83,73,80,76,64,73,82,79,71,70,74,64,68,79,81,86,72,63,73,75,74,71,72,60,64,65,74,71,73,72,79,74,71,31,NA,NA,NA
TENURE,1 - 4 years,71,67,66,69,69,69,70,67,66,70,68,79,67,70,67,40,58,46,59,70,61,63,65,69,71,62,53,46,73,77,65,70,73,72,67,59,66,81,64,58,69,80,72,60,76,72,53,76,76,71,80,82,76,79,75,62,67,82,75,65,64,72,62,65,70,72,80,69,61,69,73,69,68,70,55,66,62,70,66,71,70,78,70,66,18,NA,NA,NA
TENURE,5 - 8 years,71,68,70,69,68,71,75,66,67,68,69,79,65,62,64,33,56,37,59,67,56,68,62,62,66,57,49,38,73,78,69,72,74,72,67,56,67,83,56,57,72,78,72,58,79,73,44,83,80,78,83,88,82,85,78,64,69,82,77,59,65,73,63,69,79,77,85,69,57,69,75,69,69,68,50,63,59,71,64,72,72,83,70,70,22,NA,NA,NA
TENURE,9+ years,71,64,65,66,66,69,69,64,62,66,65,73,62,61,60,33,59,42,60,65,58,60,58,62,62,56,46,40,71,80,66,67,68,66,60,54,67,80,50,57,64,74,64,56,80,73,48,79,76,76,80,85,78,81,76,61,65,77,70,63,63,73,63,62,76,79,85,65,57,65,73,66,66,64,52,60,59,66,62,68,70,80,67,67,22,NA,NA,NA
FUNCTION,CI & Maintenance,86,61,82,79,79,86,86,86,82,86,79,82,79,75,75,32,64,36,46,75,75,71,71,75,79,50,46,50,86,96,61,68,79,68,68,64,82,79,68,57,61,79,57,54,82,79,64,75,79,82,89,86,82,86,82,61,64,68,79,61,75,82,82,68,86,79,86,80,64,68,76,77,85,78,51,74,66,69,70,66,76,85,66,79,57,NA,NA,NA
FUNCTION,EHS,81,66,78,72,75,81,78,75,72,75,81,75,75,78,59,47,59,38,62,72,69,69,75,75,66,66,53,41,75,81,69,72,72,72,72,72,72,81,34,66,69,69,78,72,78,78,47,78,78,81,78,75,69,69,69,69,75,78,81,53,78,75,62,72,81,78,81,75,63,70,72,74,76,74,56,71,63,71,65,73,72,72,71,74,50,NA,NA,NA
FUNCTION,Finance/IT,75,68,70,68,68,69,74,66,67,70,64,73,57,73,64,42,61,47,58,67,68,70,58,66,61,58,59,42,67,73,62,70,67,72,68,57,66,81,59,59,70,77,68,58,75,68,41,78,78,72,76,75,73,72,67,65,72,81,70,74,62,70,60,68,72,73,81,68,60,67,71,70,69,66,55,65,60,68,64,70,68,72,72,67,18,NA,NA,NA
FUNCTION,Human Resources,63,45,58,63,57,60,68,60,58,62,62,70,58,63,43,37,47,43,55,52,58,58,55,52,37,60,55,42,62,70,63,67,62,62,48,55,63,75,55,63,60,62,62,57,75,72,35,70,68,60,67,75,65,75,68,62,57,63,72,50,60,65,50,62,63,60,67,59,52,62,64,57,62,59,47,52,58,60,62,63,61,70,61,60,0,NA,NA,NA
FUNCTION,IsoTek Manufacturing,72,67,65,73,77,72,65,75,70,68,73,82,77,65,62,50,63,53,73,75,48,62,62,60,75,68,58,50,83,87,65,63,67,63,53,52,53,80,63,48,58,83,65,57,78,83,48,77,78,72,88,87,70,73,68,53,57,88,75,73,57,68,62,60,63,70,85,71,65,63,73,71,70,72,63,61,69,62,59,68,72,77,69,62,20,NA,NA,NA
