ResponseId,StartDate,EndDate,cpi_Direction_vision_1_The company's vision is very clear.,cpi_Direction_vision_2_I can summarize the company's vision to someone I meet.,cpi_Direction_vision_3_I feel inspired by the company's vision.,cpi_Direction_vision_4_Leaders are passionate about the company's vision.,cpi_Direction_vision_5_Leaders are guided by the company's vision.,cpi_Direction_strategy_1_I have confidence in the company's strategy.,cpi_Direction_strategy_2_I know what my company wants to achieve in the next year.,cpi_Direction_strategy_3_This company knows how to get the results it is looking for.,cpi_Direction_strategy_4_We know what our next step is for improving our capabilities.,cpi_Direction_strategy_5_Leadership effectively connects my work to the company goals.,cpi_Direction_leadership_1_I have a great deal of confidence in the leadership of this company.,cpi_Direction_leadership_2_Company leaders impact the attitude and culture of the entire company.,cpi_Direction_leadership_3_The leadership of this company is fantastic in comparison to the leadership of other organizations I've been involved with.,cpi_Direction_leadership_4_Leaders find the time to get to know the employees.,cpi_Direction_leadership_5_I have confidence in the decision making of company leaders. ,cpi_Operations_adaptability_1_We deal with the same problems again and again.*,cpi_Operations_adaptability_2_Company changes usually have a positive impact on me.,cpi_Operations_adaptability_3_People look to pass the blame when something goes wrong.*,"cpi_Operations_adaptability_4_If an issue arises, people mostly remain calm and focused.",cpi_Operations_adaptability_5_We use feedback from customers to improve our services.,cpi_Operations_performance_1_I have real time access to business i.,cpi_Operations_performance_2_My team uses performance measures (i.e. key performance indicators).,cpi_Operations_performance_3_We are recognized for our successes.,cpi_Operations_performance_4_We have a clear sense at all times whether or not we're meeting our objectives.,cpi_Operations_performance_5_We are held accountable for our performance.,cpi_Operations_systems_1_I often use 'workarounds' instead of the company's established systems.*,cpi_Operations_systems_2_It often takes too long to get the information I need.*,"cpi_Operations_systems_3_Oftentimes, I have to take care of things that shouldn't be my responsibility.*",cpi_Operations_systems_4_I know who to go to when I have concerns about our systems/processes.,cpi_Operations_systems_5_I follow the company's standardized procedures.,cpi_People_teamwork_1_Our team consistently meets our goals.,cpi_People_teamwork_2_Our work would be better if we collaborated more.,cpi_People_teamwork_3_Our skills complement each other well.,cpi_People_teamwork_4_There's a real sense that I am part of a team.,cpi_People_teamwork_5_Our company has a spirit of teamwork and cooperation.,cpi_People_talent_1_My company does a good job of hiring the right people for the right jobs.,cpi_People_talent_2_I am confident my performance affects my compensation.,cpi_People_talent_3_I get along well with my supervisor.,cpi_People_talent_4_Performance reviews are a waste of time.*,"cpi_People_talent_5_Based on my experience, the company does a great job of acclimating new employees.",cpi_People_development_1_I get helpful feedback from my supervisor on a regular basis.,cpi_People_development_2_I am consistently improving at my job.,cpi_People_development_3_People here are always willing to help me learn.,cpi_People_development_4_The company invests in employees learning new skills.,cpi_People_development_5_I have grown professionally during my time with this company.,cpi_Engagement_fit_1_My job role is always extremely clear.,cpi_Engagement_fit_2_I am very frequently overwhelmed at work.*,cpi_Engagement_fit_3_My job is a great fit for my skills and strengths.,cpi_Engagement_fit_4_I embrace the company's core values.,cpi_Engagement_fit_5_I look forward to going to work.,cpi_Engagement_customer_1_I believe in the products or services we provide.,cpi_Engagement_customer_2_I respond to customer needs as quickly as possible.,cpi_Engagement_customer_3_I build great relationships with my customers.,cpi_Engagement_customer_4_I'm disappointed if I don't meet my customers' expectations.,cpi_Engagement_customer_5_I seek feedback from customers to improve our products or services.,cpi_Engagement_climate_1_My opinions are heard and valued.,cpi_Engagement_climate_2_I am confident that leadership understands what I do.,cpi_Engagement_climate_3_I am very comfortable letting my supervisor know when I've made a mistake.,cpi_Engagement_climate_4_I trust my supervisor has my best interest in mind.,cpi_Engagement_climate_5_I feel micromanaged.*,extra_pos_positivity_1_People in my organization express genuine gratitude toward one another.,extra_pos_positivity_2_I practice mindfulness by staying in the present moment while doing my work.,extra_pos_positivity_3_People I work with generally feel optimistic about the organization's future.,extra_pos_positivity_4_People that I work with care about my happiness and well-being.,extra_pos_positivity_5_I feel inspired every day to do my best work.,"extra_sat_satisfaction_1_Taking everything into consideration, I am satisfied with my job as a whole.",extra_eff_effort_2_I am willing to put in a great deal of effort beyond what is normally expected in order to help the organization.,nps,nps_group,CPI_index,Direction,Operations,People,Engagement,Vision,Strategy,Leadership,Adaptability,Performance,Systems,Teamwork,Talent,Development,Fit,Customer,Climate,Positivity,CPI_missing,CPI_tot_sd,Direction_sd,Operations_sd,People_sd,Engagement_sd,TENURE,FUNCTION,LEVEL,LOCATION,GENERATION,GENDER
9,"Jul 2, 2020 2:33:13 PM","Aug 5, 2020 5:29:42 PM",75,75,75,75,75,75,50,75,75,75,75,100,75,25,75,75,75,75,75,75,50,75,75,75,75,75,75,25,75,75,75,75,75,75,75,75,75,75,25,75,25,100,0,25,75,100,50,75,75,75,100,100,75,75,100,50,75,75,75,75,75,100,50,50,100,100,100,10,Promoter,70.41666666666667,71.66666666666667,70,61.666666666666664,78.33333333333333,75,70,70,75,70,65,75,65,45,75,90,70,75,0,21.422033378911458,15.998511835554611,14.015297764534703,28.136571693556885,15.998511835554611,9+ years,Operations,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Female
13,"Jul 6, 2020 6:20:14 PM","Jul 6, 2020 6:36:17 PM",75,75,75,75,75,75,75,75,75,75,75,100,75,75,75,25,50,75,75,75,0,75,50,75,75,50,75,50,75,75,75,75,100,75,75,75,75,100,75,75,75,75,75,75,75,75,75,75,100,75,100,100,100,100,100,100,100,100,100,75,75,75,75,75,75,75,100,9,Promoter,76.66666666666667,76.66666666666667,60,78.33333333333333,91.66666666666667,75,75,80,60,55,65,80,80,75,80,100,95,75,0,19.986187133284876,6.454972243679028,22.75647474581999,8.79664438186246,12.198750911856663,5 - 8 years,Sales,Management,"SARNA, Canada",Generation X (born between 1966 - 1980),Male
14,"Jul 6, 2020 6:21:05 PM","Jul 6, 2020 6:38:31 PM",25,25,50,50,50,50,75,25,50,50,50,75,50,25,50,0,25,25,50,50,0,25,50,25,25,25,0,25,25,100,100,25,25,50,50,25,25,100,25,25,50,100,50,25,100,25,50,100,100,100,100,100,100,100,100,25,25,100,100,100,50,50,50,100,100,50,100,8,Passive,52.5,46.666666666666664,30,51.666666666666664,81.66666666666667,40,50,50,30,25,35,50,40,65,75,100,70,70,0,32.60212060759407,15.998511835554611,25.354627641855497,31.997023671109222,31.997023671109222,5 - 8 years,NA,NA,NA,NA,NA
20,"Jul 6, 2020 6:22:37 PM","Jul 6, 2020 6:44:24 PM",75,75,75,75,75,75,100,75,50,50,75,100,50,75,75,25,50,25,75,75,50,75,75,50,25,50,50,0,100,100,75,75,100,100,50,75,100,100,100,75,100,75,75,75,75,75,50,100,100,100,100,100,100,100,100,75,75,100,100,100,75,50,50,75,75,75,100,8,Passive,75.83333333333333,73.33333333333333,55,83.33333333333333,91.66666666666667,75,70,75,50,55,60,80,90,80,85,100,90,65,0,24.99713906304737,14.840420992616592,28.66057521105554,15.430334996209192,15.430334996209192,5 - 8 years,Sales,Management,"Minneapolis, MN",Generation X (born between 1966 - 1980),Male
23,"Jul 6, 2020 6:25:57 PM","Jul 6, 2020 6:40:18 PM",75,75,75,75,75,75,75,75,75,75,75,100,50,75,75,25,50,25,25,75,0,75,25,25,75,0,0,0,25,75,75,100,100,100,75,50,100,100,50,75,75,75,75,25,75,75,0,100,75,75,75,100,100,100,75,75,25,75,100,100,25,75,25,100,75,75,75,6,Detractor,65.41666666666667,75,33.333333333333336,76.66666666666667,76.66666666666667,75,75,75,40,40,20,90,75,65,65,90,75,60,0,30.521398565415986,9.44911182523068,29.378482569650156,22.09287754221342,29.072978781646974,5 - 8 years,Sales,Team Member,"Golden, CO",Generation Y (born between 1981 - 2000),Female
25,"Jul 6, 2020 6:28:14 PM","Jul 6, 2020 6:33:15 PM",50,50,75,75,75,75,75,75,75,75,75,75,100,75,75,50,25,0,25,25,100,100,100,100,100,50,75,0,75,75,75,75,75,100,75,25,50,100,75,25,100,100,100,100,100,50,50,75,75,75,75,75,75,75,75,50,25,100,100,75,NA,NA,NA,NA,NA,NA,NA,6,Detractor,70.41666666666667,73.33333333333333,60,78.33333333333333,70,65,75,80,25,100,55,80,55,100,65,75,70,NaN,0,26.931337818796663,11.443442705426587,37.55947664324259,26.502470684465486,19.364916731037084,5 - 8 years,Order Process & Quality,Team Member,"Houston, TX",Generation Y (born between 1981 - 2000),Male
28,"Jul 6, 2020 6:30:03 PM","Jul 6, 2020 6:39:27 PM",75,75,75,75,75,75,50,50,50,50,75,75,75,50,75,50,75,50,50,75,50,50,50,50,75,100,50,75,50,75,50,50,50,50,50,50,50,75,50,50,75,50,50,50,50,75,50,50,75,75,75,75,75,75,50,50,50,75,75,50,50,50,50,50,50,75,75,8,Passive,61.666666666666664,66.66666666666667,61.666666666666664,53.333333333333336,65,75,55,70,60,55,70,50,55,55,65,70,60,50,0,15.324242010866035,12.198750911856663,15.998511835554611,8.79664438186246,12.677313820927749,5 - 8 years,NA,Team Member,"Ferndale, WA",Baby Boomer (born between 1946 - 1965),Female
29,"Jul 6, 2020 6:29:52 PM","Jul 6, 2020 7:03:06 PM",75,50,50,75,75,75,75,25,25,25,50,75,50,75,50,25,25,50,75,75,75,75,75,75,75,50,25,50,25,50,50,50,50,75,75,50,75,100,0,75,100,75,75,75,75,50,25,75,75,75,75,75,100,100,75,75,50,75,75,75,75,50,50,75,50,75,75,8,Passive,62.5,56.666666666666664,55,66.66666666666667,71.66666666666667,65,45,60,50,75,40,60,60,80,60,85,70,60,0,22.892566610770324,19.970215917949506,21.547290184283366,24.397501823713327,18.580583823930162,9+ years,Sales,Supervisor,NA,Baby Boomer (born between 1946 - 1965),Male
30,"Jul 6, 2020 6:31:45 PM","Jul 6, 2020 6:43:54 PM",75,75,75,75,75,75,25,50,75,75,50,100,75,50,75,25,50,75,75,75,25,50,75,100,75,75,50,50,75,100,75,75,75,100,75,50,75,100,100,75,75,100,75,50,100,100,50,100,100,100,100,100,100,100,75,75,75,100,75,75,75,75,75,75,100,100,100,10,Promoter,75.41666666666667,68.33333333333333,65,80,88.33333333333333,75,60,70,60,65,70,80,80,80,90,95,80,80,0,22.162041197824202,17.59328876372492,22.75647474581999,16.903085094570333,15.998511835554611,5 - 8 years,Sales,Team Member,NA,Generation Y (born between 1981 - 2000),Male
31,"Jul 6, 2020 6:31:49 PM","Jul 6, 2020 6:44:05 PM",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,50,50,50,75,75,75,75,75,75,75,75,50,50,75,75,75,75,75,75,75,50,75,100,50,50,100,75,75,75,75,100,75,100,100,100,100,100,100,100,100,100,75,75,100,75,75,75,75,75,75,100,75,10,Promoter,77.08333333333333,75,66.66666666666667,73.33333333333333,93.33333333333333,75,75,75,60,75,65,75,65,80,95,100,85,75,0,17.513735816658713,0,12.198750911856663,14.840420992616592,11.443442705426587,1 - 4 years,Sales,Team Member,"Dominquez, CA",Baby Boomer (born between 1946 - 1965),Male
